id	id_jln_bdg	bobot
1209311614	jln_0068	0.263246969
1209311619	jln_0068	0.736753031
1209311614	jln_0069	0.643960931
1209311619	jln_0069	0.356039069
1209311614	jln_0070	0.613469805
1209311619	jln_0070	0.386530195
1209311614	jln_0071	0.447390801
1209311615	jln_0071	0.552609199
1209311614	jln_0072	0.679737608
1209311619	jln_0072	0.320262392
1209311614	jln_0073	0.251687951
1209311615	jln_0073	0.748312049
1209311614	jln_0074	0.360323423
1209311615	jln_0074	0.639676577
1209311614	jln_0075	0.483809768
1209311615	jln_0075	0.516190232
1209311614	jln_0076	0.546847876
1209311615	jln_0076	0.453152124
1209311621	jln_0077	0.229893857
1209311805	jln_0077	0.423264025
1209311901	jln_0077	0.346842117
1209311625	jln_0078	1
1209311906	jln_0079	1
1209312403	jln_0080	1
1209312403	jln_0081	1
1209312403	jln_0082	1
1209312701	jln_0083	0.997547807
1209312403	jln_0084	1
1209312403	jln_0085	1
1209312512	jln_0086	1
1209312512	jln_0087	1
1209312512	jln_0088	1
1209312512	jln_0089	1
1209312512	jln_0090	1
1209312403	jln_0091	1
1209312403	jln_0092	1
1209312402	jln_0093	0.207915498
1209312403	jln_0093	0.792084502
1209312403	jln_0094	1
1209312704	jln_0095	0.223493212
1209312705	jln_0095	0.353467745
1209312709	jln_0095	0.423039043
1209312425	jln_0096	1
1209312425	jln_0097	1
1209312425	jln_0098	1
1209312425	jln_0099	1
1209312425	jln_0100	1
1209312425	jln_0101	1
1209312425	jln_0102	1
1209312425	jln_0103	1
1209312425	jln_0104	1
1209312425	jln_0105	1
1209312403	jln_0106	1
1209312403	jln_0107	0.154518862
1209312420	jln_0107	0.189258861
1209312424	jln_0107	0.436529557
1209312425	jln_0107	0.21969272
1209312420	jln_0108	0.99520593
1209312420	jln_0109	1
1209312420	jln_0110	0.967844443
1209312425	jln_0110	0.030761508
1209312403	jln_0111	1
1209312512	jln_0112	1
1209311925	jln_0113	1
1209312510	jln_0114	0.851047181
1209312606	jln_0114	0.148952819
1209312422	jln_0115	0.373842658
1209312702	jln_0115	0.626157342
1209314101	jln_0116	1
1209312412	jln_0117	1
1209312801	jln_0118	0.130609283
1209312802	jln_0118	0.173697826
1209312806	jln_0118	0.151184524
1209312807	jln_0118	0.224959179
1209312812	jln_0118	0.280101306
1209312813	jln_0118	0.039447882
1209312521	jln_0119	0.245397535
1209312522	jln_0119	0.218329846
1209312802	jln_0119	0.536272619
1209312506	jln_0120	1
1209312506	jln_0121	1
1209312506	jln_0122	1
1209312506	jln_0123	1
1209312511	jln_0124	1
1209312506	jln_0125	0.30830341
1209312511	jln_0125	0.69169659
1209312506	jln_0126	0.793428233
1209312511	jln_0126	0.206571767
1209312511	jln_0127	1
1209312506	jln_0128	0.22515507
1209312511	jln_0128	0.77484493
1209311909	jln_0129	0.384452907
1209311914	jln_0129	0.615547093
1209311624	jln_0130	1
1209311901	jln_0131	0.689084969
1209311902	jln_0131	0.05546387
1209311906	jln_0131	0.131302608
1209311907	jln_0131	0.124148553
1209312402	jln_0132	1
1209312424	jln_0133	1
1209314101	jln_0134	1
1209312419	jln_0135	0.000299079
1209312424	jln_0135	0.999700921
1209312424	jln_0136	1
1209312521	jln_0137	0.622801728
1209312522	jln_0137	0.377198272
1209312702	jln_0138	0.14580536
1209312707	jln_0138	0.854194522
1209311623	jln_0139	0.308865156
1209311624	jln_0139	0.622295364
1209311625	jln_0139	0.06883948
1209312411	jln_0140	1
1209311618	jln_0141	0.41552601
1209311619	jln_0141	0.58447399
1209311907	jln_0142	1
1209312425	jln_0143	1
1209312423	jln_0144	0.343244936
1209312703	jln_0144	0.656755064
1209312703	jln_0145	1
1209312703	jln_0146	1
1209312703	jln_0147	1
1209312703	jln_0148	1
1209312703	jln_0149	1
1209312423	jln_0150	0.254317413
1209312703	jln_0150	0.745682587
1209312423	jln_0151	1
1209312423	jln_0152	0.972682782
1209312423	jln_0153	0.461112742
1209312703	jln_0153	0.538887258
1209312521	jln_0154	1
1209312521	jln_0155	1
1209312521	jln_0156	1
1209312521	jln_0157	1
1209312521	jln_0158	1
1209312521	jln_0159	1
1209312521	jln_0160	1
1209312521	jln_0161	1
1209312521	jln_0162	1
1209312521	jln_0163	1
1209312521	jln_0164	1
1209312521	jln_0165	1
1209312521	jln_0166	1
1209312417	jln_0167	1
1209312710	jln_0168	0.087213794
1209312715	jln_0168	0.912786206
1209312710	jln_0169	1
1209312702	jln_0170	0.749676075
1209312707	jln_0170	0.250323925
1209312702	jln_0171	0.577086234
1209312707	jln_0171	0.422913766
1209312702	jln_0172	0.414494292
1209312707	jln_0172	0.585505708
1209312707	jln_0173	1
1209312707	jln_0174	1
1209311618	jln_0175	1
1209311901	jln_0176	0.701644164
